"","COM_SECT","Posttown","Quotes","HH","QuotesPCT","expPCT","antiSoc_hh","bikeTheft_hh","burglary_hh","damageAndArson_hh","drugs_hh","other_hh","theft_hh","publicOrder_hh","robbery_hh","shoplifting_hh","theftPerson_hh","vehicleCrime_hh","violence_hh","weapons_hh","totalCrimes_hh","fire_hh","falseAlarm_hh","specialService_hh","totalFires_hh"
"1","E20 2","E"," -   ",1,"","0.0001%",3,3,0,3,3,1,16,0,12,6,1,6,2,11,67,2,2,5,9
"2","E20 3","E"," -   ",1,"","0.0001%",9,4,3,7,0,2,8,0,1,1,0,3,14,7,59,4,16,11,31
"3","E6 7","E"," -   ",1,"","0.0001%",60,0,3,7,5,1,203,2,21,9,141,3,36,40,531,10,34,8,52
"4","EC1M 3","EC"," -   ",1,"","0.0001%",34,4,16,6,3,0,40,2,6,16,4,81,31,20,263,4,35,7,46
"5","EC1M 7","EC"," -   ",1,"","0.0001%",2,9,10,6,7,2,23,0,6,7,1,125,10,13,221,1,25,3,29
"6","EC1N 2","EC"," -   ",1,"","0.0001%",49,18,6,11,2,1,32,1,6,5,7,54,8,31,231,3,18,4,25
"7","EC1N 6","EC"," -   ",1,"","0.0001%",0,0,2,1,2,0,1,0,0,1,0,4,0,0,11,0,3,1,4
"8","EC1R 5","EC"," -   ",1,"","0.0001%",81,23,41,13,5,1,43,0,11,18,8,107,23,57,431,6,28,12,46
"9","EC1V 2","EC"," -   ",1,"","0.0001%",7,3,11,3,3,1,9,0,0,2,0,28,5,15,87,5,30,19,54
"10","EC1Y 4","EC"," -   ",1,"","0.0001%",3,17,2,4,2,0,36,0,2,7,5,28,8,10,124,2,9,2,13
"11","EC2A 1","EC"," -   ",1,"","0.0001%",2,1,0,2,0,0,11,0,0,4,0,14,12,2,48,3,2,5,10
"12","EC2A 2","EC"," -   ",1,"","0.0001%",17,21,19,6,1,1,88,0,6,6,0,56,24,42,287,5,28,6,39
"13","EC2M 1","EC"," -   ",1,"","0.0001%",15,8,2,2,7,3,11,1,2,1,2,4,0,15,73,1,5,1,7
"14","EC2M 2","EC"," -   ",1,"","0.0001%",33,5,1,2,1,1,19,0,2,3,12,17,2,15,113,2,9,3,14
"15","EC2M 3","EC"," -   ",1,"","0.0001%",13,3,0,4,6,0,17,1,6,6,0,11,0,15,82,1,10,3,14
"16","EC2M 4","EC"," -   ",1,"","0.0001%",248,20,18,30,43,12,109,4,40,4,131,36,7,108,810,4,31,24,59
"17","EC2M 5","EC"," -   ",1,"","0.0001%",0,0,1,0,0,1,1,0,0,0,4,0,0,1,8,0,3,0,3
"18","EC2M 6","EC"," -   ",1,"","0.0001%",1,3,1,0,1,0,22,0,0,1,1,10,0,10,50,2,6,2,10
"19","EC2N 1","EC"," -   ",1,"","0.0001%",15,1,0,0,1,2,2,0,1,0,4,1,0,1,28,0,11,0,11
"20","EC2N 2","EC"," -   ",1,"","0.0001%",17,7,1,2,1,0,25,0,1,1,13,2,0,10,80,1,27,4,32
"21","EC2N 3","EC"," -   ",1,"","0.0001%",0,1,1,0,0,0,5,0,0,0,0,0,0,1,8,0,9,0,9
"22","EC2N 4","EC"," -   ",1,"","0.0001%",0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2
"23","EC2R 5","EC"," -   ",1,"","0.0001%",16,0,0,1,2,3,4,0,1,0,1,1,0,4,33,1,6,2,9
"24","EC2R 6","EC"," -   ",1,"","0.0001%",2,3,0,1,0,0,12,0,0,0,0,1,0,2,21,0,21,4,25
"25","EC2R 7","EC"," -   ",1,"","0.0001%",12,2,3,7,2,2,16,0,1,2,0,1,0,7,55,2,28,2,32
"26","EC2R 8","EC"," -   ",1,"","0.0001%",24,3,1,4,5,1,15,0,2,3,6,7,0,19,90,2,50,3,55
"27","EC2V 5","EC"," -   ",1,"","0.0001%",1,3,2,0,0,0,6,0,0,0,0,0,0,0,12,1,9,0,10
"28","EC2V 6","EC"," -   ",1,"","0.0001%",14,4,0,0,5,6,28,0,5,0,57,10,3,21,153,2,27,1,30
"29","EC2V 8","EC"," -   ",1,"","0.0001%",7,2,0,0,1,1,10,0,1,0,7,1,0,6,36,0,28,0,28
"30","EC3A 3","EC"," -   ",1,"","0.0001%",15,0,2,1,1,0,3,0,0,0,0,2,0,3,27,2,9,1,12
"31","EC3A 5","EC"," -   ",1,"","0.0001%",13,7,7,1,1,0,8,0,5,0,0,1,5,6,54,1,15,6,22
"32","EC3A 6","EC"," -   ",1,"","0.0001%",0,5,0,4,5,3,17,1,5,2,3,11,1,20,77,0,17,1,18
"33","EC3A 8","EC"," -   ",1,"","0.0001%",7,1,2,1,0,0,13,1,4,0,15,3,0,6,53,1,14,0,15
"34","EC3M 1","EC"," -   ",1,"","0.0001%",0,0,0,0,1,0,1,1,0,0,2,1,0,1,7,0,6,0,6
"35","EC3M 2","EC"," -   ",1,"","0.0001%",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"36","EC3M 3","EC"," -   ",1,"","0.0001%",3,0,0,0,1,0,2,1,1,0,6,3,1,4,22,0,3,0,3
"37","EC3M 4","EC"," -   ",1,"","0.0001%",6,0,0,0,0,0,3,0,0,0,0,0,0,2,11,0,10,1,11
"38","EC3M 5","EC"," -   ",1,"","0.0001%",0,0,1,1,0,0,2,0,0,0,0,1,0,0,5,0,3,0,3
"39","EC3M 8","EC"," -   ",1,"","0.0001%",2,1,0,2,1,1,2,0,1,0,2,0,0,5,17,0,2,1,3
"40","EC3N 2","EC"," -   ",1,"","0.0001%",33,6,1,4,5,2,46,4,10,2,1,8,13,40,175,3,21,4,28
"41","EC3N 3","EC"," -   ",1,"","0.0001%",0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,3,0,3
"42","EC3R 5","EC"," -   ",1,"","0.0001%",12,3,4,1,0,0,19,0,2,1,1,6,1,5,55,2,4,1,7
"43","EC3R 6","EC"," -   ",1,"","0.0001%",97,6,3,7,11,3,84,1,3,3,2,37,0,17,274,1,27,4,32
"44","EC3R 7","EC"," -   ",1,"","0.0001%",7,1,2,0,0,0,6,0,1,0,7,0,0,6,30,0,6,1,7
"45","EC3V 1","EC"," -   ",1,"","0.0001%",5,0,1,5,1,0,10,0,0,0,5,2,0,1,30,1,16,1,18
"46","EC3V 4","EC"," -   ",1,"","0.0001%",0,0,0,0,0,0,4,0,0,0,0,3,0,6,13,0,5,0,5
"47","EC3V 9","EC"," -   ",1,"","0.0001%",27,10,15,3,4,3,41,3,4,0,80,15,2,20,227,3,53,2,58
"48","EC4A 4","EC"," -   ",1,"","0.0001%",1,1,0,1,1,0,2,0,0,0,0,2,1,0,9,3,0,0,3
"49","EC4M 5","EC"," -   ",1,"","0.0001%",0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,1,1
"50","EC4M 8","EC"," -   ",1,"","0.0001%",9,0,1,2,0,2,9,2,0,0,1,5,0,2,33,2,8,1,11
"51","EC4N 1","EC"," -   ",1,"","0.0001%",41,0,10,2,0,1,17,0,2,0,2,4,0,9,88,4,42,2,48
"52","EC4N 4","EC"," -   ",1,"","0.0001%",9,7,4,2,3,0,15,0,4,0,18,5,0,6,73,2,10,1,13
"53","EC4N 5","EC"," -   ",1,"","0.0001%",39,0,5,2,0,1,11,0,1,1,32,3,0,5,100,2,20,5,27
"54","EC4N 6","EC"," -   ",1,"","0.0001%",4,1,4,1,0,0,9,0,1,0,8,1,2,5,36,0,33,4,37
"55","EC4N 7","EC"," -   ",1,"","0.0001%",1,2,0,2,2,3,10,0,1,0,1,3,0,9,34,1,18,1,20
"56","EC4N 8","EC"," -   ",1,"","0.0001%",14,4,1,2,2,0,17,1,6,0,16,5,0,17,85,2,19,0,21
"57","EC4R 1","EC"," -   ",1,"","0.0001%",10,2,0,0,0,0,2,0,0,0,0,0,1,2,17,0,10,0,10
